,Artificial Intelligence,Machine Learning,Computer Vision,Robotics,Data Science,Cybersecurity,Information Security,Ethical Hacking,Cryptography,Human-Computer Interaction,Interface Design,Usability Evaluation,User Research,Immersive Technologies,Data Visualization,Game Development,Game Design,Animation & Digital Media,Computer Graphics,Sound Design,Interactive Media,Media Production,Digital Arts & Culture,Media Studies,Health,Digital Healthcare,Nutritional Science,Neuroscience,Cognitive Neuroscience,Cognitive Psychology,Physical Computing,Smart Engineering,Climate Science,Renewable Energy,Software Engineering,Web Technologies,Mobile Development
Digital Arts & Culture,0.42864551204242485,0.3248835748055783,0.41409245149086166,0.2860905351296123,0.38324609565449486,0.32948182876911886,0.2897433620914703,0.2713393842262832,0.2920602326673568,0.4689391085834636,0.5419943162769107,0.39232592319304177,0.46941267365295797,0.6138983579820985,0.425419986747601,0.7646860927343369,0.7668119758367538,0.7830858319997787,0.7718986064195632,0.7583326369524002,0.7830038100481033,0.7695719420909881,1.0,0.8661135017871857,0.19679883952205318,0.5100112556363199,0.12544490342520265,0.24846349421953534,0.3092814281226566,0.3327170154973882,0.4174671716136999,0.32393393640982965,0.23007335821572694,0.2303713298289624,0.35200904012010875,0.37983517612236883,0.3446654836497989
Media Studies,0.196486654453845,0.1103065752214645,0.2697924400942188,0.036757941555073836,0.27834427958480823,0.23725774876324857,0.28861368659940045,0.1741137318597214,0.24992789812451954,0.34112856292315424,0.4198251187647963,0.2996138324167081,0.37232350451688045,0.42951473139119273,0.2470532965300844,0.7380759418010712,0.7382272630929947,0.7438065126538276,0.7312635511159896,0.7412743374705314,0.768439419567585,0.7688653364777565,0.8661135017871857,1.0,0.31990926812485077,0.3303977760123395,0.1799642794598378,0.26103303461521504,0.24593730806872904,0.29170574786169173,0.1266971583541124,0.10709978830777436,0.19023367873289676,0.19978535272056552,0.17203789392031404,0.37889832673948237,0.30159642358860644
Health,0.1412114957565615,0.11482329922800875,0.13739900741378985,0.07621925553767075,0.25831413073669035,0.08335256357830916,0.08444317722918691,0.13524144984982253,0.0,0.3153596929221318,0.2686571597321053,0.2588622158048598,0.4343950248926235,0.17080261617373282,0.1951037843766238,0.23774212101310344,0.265822008990906,0.14257629709527164,0.10185608401288787,0.21172165118277075,0.2296337010616904,0.18666999552594676,0.19679883952205318,0.31990926812485077,1.0,0.8388144701719285,0.8605599701404572,0.7311337679624557,0.7340400598943233,0.7372051112353801,0.07568257761868558,0.1070551235319219,0.15970628180629654,0.16094073895035754,0.12024526780811148,0.14527387304980408,0.22259011352018404
Digital Healthcare,0.36702677846104176,0.3368672204848931,0.36998082366927326,0.21165182255322068,0.37376417288104413,0.4019588368302115,0.4384721807727631,0.24424321287341766,0.296515903072244,0.43908611532241293,0.42653368371512634,0.3898138575988097,0.38633258301287526,0.4573333426231731,0.3626003246024874,0.2971226534790754,0.3119060091605562,0.36465464882110543,0.36020899596019146,0.2666813501432985,0.37186291425704526,0.26135037554454077,0.5100112556363199,0.3303977760123395,0.8388144701719285,1.0,0.8369192570447922,0.725299098342657,0.7287144109606742,0.7328146569430828,0.38017165412178855,0.36190293632483866,0.1655602201979587,0.18945543788240754,0.3608850485723147,0.4074769088035775,0.357055343059685
Nutritional Science,0.15888016731443944,0.17698302276237476,0.17685383979770708,0.049075431177133845,0.3141907988228224,0.10137780047890228,0.14451822199322029,0.1115297297270396,0.07726682239313683,0.23281229718219798,0.20160583618705596,0.24769870815376427,0.288568599909988,0.1160362000728478,0.22798639569309748,0.1607161493304154,0.20580967451663662,0.13774843699826914,0.1772206413827086,0.16098039108345685,0.19049981716157455,0.14646870902689865,0.12544490342520265,0.1799642794598378,0.8605599701404572,0.8369192570447922,1.0,0.7301665656268597,0.7381021156907082,0.7362519793212413,0.06066606437538295,0.13647516380669544,0.22533674757066535,0.1609022403057065,0.1396444391212187,0.13069005538679934,0.13411675990513966
Neuroscience,0.4454630020239132,0.354206458838572,0.40123614922203393,0.3255167702898535,0.3445084543901764,0.1337628247483324,0.1728862111294161,0.19775493435649855,0.12528515688742364,0.30369742925247806,0.36454933300332276,0.24457801870166412,0.2136593104959209,0.2519175340916386,0.3827865582431762,0.16802959897807335,0.26672722646909824,0.27802930756464467,0.3316901166002083,0.30403675613611886,0.3042996740869815,0.24729769673350976,0.24846349421953534,0.26103303461521504,0.7311337679624557,0.725299098342657,0.7301665656268597,1.0,0.9020619958639146,0.8635041952133179,0.27077225498641827,0.2337926539817221,0.29511860277712015,0.22181513959670923,0.22280470882075265,0.2208088331778667,0.15936206227366728
Cognitive Neuroscience,0.522521108810954,0.40173439429940033,0.39848796686491067,0.2937262106140512,0.32571068021368615,0.15880833362778807,0.15896961298914253,0.2084709813880823,0.18753504218831463,0.3464733793832906,0.3477310069362478,0.30858854541733577,0.2592022858756887,0.2581452878973901,0.3459508878239119,0.216825473714094,0.27151934390727234,0.30504498245519734,0.3216188773527141,0.31379622835819826,0.31854844593421033,0.27532371912324033,0.3092814281226566,0.24593730806872904,0.7340400598943233,0.7287144109606742,0.7381021156907082,0.9020619958639146,1.0,0.8955260157585144,0.29017738340933025,0.27613572854158963,0.2702083617074349,0.20243662656497163,0.1656226556632937,0.2052415853266537,0.1411055993237881
Cognitive Psychology,0.5231819880179865,0.39896964506120863,0.4589068556972126,0.17938328513399457,0.32863199421950773,0.22097069315421192,0.24347573275408968,0.23426222442008032,0.20192906068162098,0.45266299950238525,0.4451602151770214,0.4111295190025056,0.4039997836794434,0.3173687446545404,0.4122553546941035,0.2708649830712022,0.3466433524864394,0.3474887588790547,0.4360242150735061,0.36420359613018444,0.3993954293877337,0.33121797597282454,0.3327170154973882,0.29170574786169173,0.7372051112353801,0.7328146569430828,0.7362519793212413,0.8635041952133179,0.8955260157585144,1.0,0.1906755189992984,0.20636407667590506,0.2367953779507752,0.16083862812732364,0.26526751393323905,0.2728646520653608,0.2224217351728764
Physical Computing,0.4281372339380189,0.48973048239207617,0.4158365879568396,0.6469565008225655,0.28740264759329825,0.3575680493210868,0.3354853258408563,0.23898827561384411,0.37063591220946507,0.3268011835477157,0.3627345318222081,0.33090205948560936,0.29338627989082,0.41995164638357313,0.29755419750630835,0.2733587476809269,0.27587617041614,0.3428081040360317,0.33421599308968625,0.23468652237222914,0.374731957430636,0.18888543653372186,0.4174671716136999,0.1266971583541124,0.07568257761868558,0.38017165412178855,0.06066606437538295,0.27077225498641827,0.29017738340933025,0.1906755189992984,1.0,0.8727897346019745,0.29387015668254945,0.32776543795816393,0.3085377454764147,0.30017905723940347,0.3812410385532224
Smart Engineering,0.5145534299332906,0.5331355869268285,0.39912494021739214,0.5920968379541715,0.44819839536817424,0.3394305659951052,0.3158164278984286,0.19268167539828662,0.2700841720316874,0.27456298962087106,0.3436327321535126,0.2821538571110931,0.3872343787333889,0.329840044993791,0.3572887038367536,0.2727390224644363,0.26538484461056294,0.2608375454186076,0.20848929785565606,0.2185989196248032,0.2817628942009446,0.18591116269921382,0.32393393640982965,0.10709978830777436,0.1070551235319219,0.36190293632483866,0.13647516380669544,0.2337926539817221,0.27613572854158963,0.20636407667590506,0.8727897346019745,1.0,0.2899908279420466,0.30983883399681034,0.4299045330713598,0.3135012449767817,0.26167195883406535
Climate Science,0.2748559137544539,0.23740126130588712,0.2609651878181666,0.27748642480679203,0.38392462555724516,0.24356324304549037,0.2292222695377359,0.18249375576225815,0.1822589550600126,0.23383616139835972,0.24942113736062266,0.19926464171382502,0.18941779854794272,0.24923179494138353,0.30630293515254936,0.30169096319216143,0.17963085936603584,0.20831800869186168,0.23991385332437742,0.20379950800344582,0.24006485967116287,0.1947945875402345,0.23007335821572694,0.19023367873289676,0.15970628180629654,0.1655602201979587,0.22533674757066535,0.29511860277712015,0.2702083617074349,0.2367953779507752,0.29387015668254945,0.2899908279420466,1.0,0.8554982215166093,0.2752790814427541,0.24940898315348364,0.1108653977961956
Renewable Energy,0.24320056769768955,0.2270237979707561,0.2835241084891828,0.2675509410856604,0.30941424186639954,0.2187982950710819,0.2793899439584881,0.20255937631554222,0.23217485933772397,0.23629375756492943,0.2747046906447386,0.24028770744613287,0.31014717926454655,0.2991348173078342,0.2523234381608815,0.24934615286995498,0.2702658193669162,0.3036701480894476,0.21452486035794743,0.2155841033808768,0.28754965930894755,0.2414162681574205,0.2303713298289624,0.19978535272056552,0.16094073895035754,0.18945543788240754,0.1609022403057065,0.22181513959670923,0.20243662656497163,0.16083862812732364,0.32776543795816393,0.30983883399681034,0.8554982215166093,1.0,0.28558598844421335,0.30238997719178423,0.2864188071038299
Software Engineering,0.3747735139809048,0.38365453894663054,0.3662436759276969,0.3186422578336436,0.4288722770331989,0.39337787369168775,0.45009504003838025,0.3538815002405681,0.32445286686393193,0.38287016680183933,0.46081124190062817,0.48311639511303545,0.4413848242613899,0.3033164838863027,0.32444298866755655,0.5269553971011164,0.42183544010865126,0.3403316804606964,0.29436796823405614,0.32380152522581357,0.3491052529454736,0.3099140352504079,0.35200904012010875,0.17203789392031404,0.12024526780811148,0.3608850485723147,0.1396444391212187,0.22280470882075265,0.1656226556632937,0.26526751393323905,0.3085377454764147,0.4299045330713598,0.2752790814427541,0.28558598844421335,1.0,0.8513080835342408,0.8638181924819947
Web Technologies,0.31094223472516697,0.33027898992677224,0.3498361156127205,0.22079717442885316,0.361061431664961,0.41507336568077685,0.48268228089677695,0.325384049444509,0.3680343854574635,0.5003372189747411,0.4955747825748925,0.5093269350667289,0.44761195874448473,0.5345903758475664,0.3018161592672262,0.357923199898608,0.37399787428557396,0.4469500266889357,0.38380311445198817,0.271139730084809,0.44550505403230745,0.2857406952438729,0.37983517612236883,0.37889832673948237,0.14527387304980408,0.4074769088035775,0.13069005538679934,0.2208088331778667,0.2052415853266537,0.2728646520653608,0.30017905723940347,0.3135012449767817,0.24940898315348364,0.30238997719178423,0.8513080835342408,1.0,0.8588360384106637
Mobile Development,0.22747003542802074,0.2847710991755101,0.2268173157969911,0.21261239199386117,0.2157636295360062,0.21445750901902438,0.2630812739887304,0.24941105788438378,0.20790190128184854,0.5133074146801476,0.5965898380321951,0.5140261386233219,0.5332653040572877,0.4306383994534919,0.23638013759248155,0.5038867119513181,0.41341478863983083,0.3019601517849238,0.287110110536376,0.3457581236469942,0.5121473923778964,0.33579508006763664,0.3446654836497989,0.30159642358860644,0.22259011352018404,0.357055343059685,0.13411675990513966,0.15936206227366728,0.1411055993237881,0.2224217351728764,0.3812410385532224,0.26167195883406535,0.1108653977961956,0.2864188071038299,0.8638181924819947,0.8588360384106637,1.0
