,Artificial Intelligence,Machine Learning,Quantum Computing,Computer Vision,Data Science,Robotics,Cybersecurity,Information Security,Ethical Hacking,Cryptography,Human-Computer Interaction,Interface Design,Usability Evaluation,User Research,Immersive Technologies,Data Visualization,Game Development,Game Design,Animation & Digital Media,Computer Graphics,Sound Design,Interactive Media,Media Production,Digital Arts & Culture,Media Studies,Health,Digital Healthcare,Nutritional Science,Neuroscience,Cognitive Neuroscience,Cognitive Psychology,Physical Computing,Smart Engineering,Climate Science,Renewable Energy,Web Technologies,Mobile Development,Software Engineering
Human-Computer Interaction,0.40097216,0.25720027,0.08425084,0.2900378,0.192162,0.206977,0.22133201,0.27129066,0.23366833,0.2318721,1.0,0.8607631,0.8749088,0.8505105,0.82656187,0.7967198,0.39337358,0.40044808,0.3675687,0.39502883,0.324267,0.5567248,0.3306169,0.39446342,0.2714564,0.24665603,0.36573243,0.1672111,0.235432,0.2766004,0.37879902,0.2576675,0.20739268,0.16819642,0.17056164,0.42468163,0.4371643,0.31162924
Interface Design,0.35235643,0.26225474,0.024108376,0.3830921,0.27839395,0.28220057,0.24532758,0.347223,0.14066672,0.19979167,0.8607631,1.0,0.8492724,0.8593133,0.85132307,0.81881535,0.44740552,0.56713057,0.45448992,0.4711503,0.47544226,0.58064544,0.4419899,0.464773,0.34719527,0.2017087,0.3536517,0.13717745,0.2939968,0.27781057,0.37157834,0.29225037,0.27386647,0.18319571,0.20752898,0.42009813,0.5173167,0.3866409
Usability Evaluation,0.35208347,0.2954309,0.09247317,0.3039682,0.23376182,0.19468932,0.25212374,0.31685722,0.26475182,0.2520877,0.8749088,0.8492724,1.0,0.85427105,0.8245217,0.8019762,0.33589286,0.38673362,0.34652275,0.34090236,0.29936606,0.49497777,0.27515805,0.32072964,0.23150194,0.19228192,0.31831187,0.18153799,0.17853446,0.24013935,0.33882648,0.2616143,0.2146982,0.13492422,0.17440544,0.43333343,0.43785617,0.40810785
User Research,0.33572003,0.32338318,0.024356645,0.2795898,0.37186217,0.23164982,0.23398744,0.27496314,0.21291089,0.16111492,0.8505105,0.8593133,0.85427105,1.0,0.82773316,0.8068905,0.40837687,0.47616896,0.34544963,0.2948958,0.31975156,0.5063455,0.32553208,0.3949193,0.3014789,0.36121762,0.3149614,0.22087184,0.14877786,0.19260909,0.33196476,0.22550845,0.3158294,0.12544742,0.24163938,0.37393785,0.45637205,0.3679447
Immersive Technologies,0.29572815,0.17273416,0.077362224,0.36816335,0.22143854,0.236023,0.24426658,0.2868074,0.10832495,0.19849303,0.82656187,0.85132307,0.8245217,0.82773316,1.0,0.8000727,0.47202626,0.5520761,0.61684024,0.49113715,0.4554906,0.6161826,0.5092068,0.5339747,0.35652068,0.10753181,0.38329372,0.05482372,0.18559821,0.19159186,0.24858955,0.34731704,0.26059216,0.18301338,0.23104091,0.4576472,0.35760212,0.23506539
Data Visualization,0.33147174,0.34685177,0.1188192,0.44535124,0.5613545,0.15537682,0.20309392,0.3261736,0.1344265,0.22628093,0.7967198,0.81881535,0.8019762,0.8068905,0.8000727,1.0,0.27376574,0.3470236,0.3377801,0.4476086,0.33051634,0.30996907,0.19245674,0.3525799,0.18091676,0.13091971,0.2921211,0.16256645,0.31154865,0.27609742,0.33990997,0.2295197,0.2870092,0.23793963,0.18598886,0.23362154,0.17064482,0.25539792
Game Development,0.2425715,0.12529,-0.016377771,0.17859836,0.25578457,0.18017392,0.17284167,0.18097056,0.21716097,0.15029755,0.39337358,0.44740552,0.33589286,0.40837687,0.47202626,0.27376574,1.0,0.8779457,0.82192105,0.8021849,0.82887834,0.83741343,0.82147866,0.8276233,0.79569113,0.17195553,0.22910428,0.097824454,0.10486309,0.15182503,0.20383358,0.20623359,0.20563716,0.23350093,0.18312344,0.28761983,0.42809752,0.4502992
Game Design,0.28707796,0.19096,0.0039848806,0.24299346,0.30700475,0.168107,0.1898995,0.24366674,0.17764464,0.16871367,0.40044808,0.56713057,0.38673362,0.47616896,0.5520761,0.3470236,0.8779457,1.0,0.84702563,0.8243444,0.8535342,0.8486169,0.82861364,0.8301744,0.7958727,0.1989801,0.24333203,0.14122322,0.19985129,0.20446333,0.27676392,0.20865637,0.1985594,0.116028324,0.20325688,0.30309045,0.34102592,0.34912995
Animation & Digital Media,0.33096725,0.218132,0.02343009,0.4242094,0.2680821,0.3060922,0.21971324,0.26291025,0.09490282,0.18121535,0.3675687,0.45448992,0.34652275,0.34544963,0.61684024,0.3377801,0.82192105,0.84702563,1.0,0.8708749,0.8471018,0.8595218,0.858781,0.849703,0.80256784,0.08036638,0.29409826,0.075719975,0.21072856,0.23672888,0.27757755,0.2730728,0.194183,0.1436373,0.23540577,0.37330082,0.23376007,0.2706895
Computer Graphics,0.36791915,0.34118575,0.13682121,0.58461344,0.27442658,0.2248114,0.19295107,0.26326612,0.10846137,0.23708537,0.39502883,0.4711503,0.34090236,0.2948958,0.49113715,0.4476086,0.8021849,0.8243444,0.8708749,1.0,0.82374823,0.84082407,0.8219111,0.8362783,0.78751624,0.041176584,0.28981975,0.11370868,0.26237273,0.25267988,0.36278558,0.26480362,0.14380217,0.17404568,0.14961088,0.3125271,0.21946819,0.22645319
Sound Design,0.22658952,0.14258924,-0.022576464,0.28543928,0.20588055,0.18314067,0.17568116,0.2627441,0.091796085,0.14877853,0.324267,0.47544226,0.29936606,0.31975156,0.4554906,0.33051634,0.82887834,0.8535342,0.8471018,0.82374823,1.0,0.8335159,0.87696344,0.8199992,0.7995292,0.14691302,0.19980709,0.09807879,0.23575859,0.24515127,0.29366422,0.16901474,0.15353177,0.13928862,0.15063034,0.20409797,0.27591187,0.2547806
Interactive Media,0.40854228,0.28159046,0.10425725,0.37672874,0.32335514,0.22462642,0.18224937,0.21138248,0.12077636,0.12721646,0.5567248,0.58064544,0.49497777,0.5063455,0.6161826,0.30996907,0.83741343,0.8486169,0.8595218,0.84082407,0.8335159,1.0,0.8548313,0.8496046,0.83212733,0.16415182,0.3010355,0.12648878,0.2360116,0.24972492,0.32753345,0.30379683,0.21432191,0.174191,0.21989118,0.37191013,0.43604782,0.27913338
Media Production,0.1825465,0.07808848,-0.040324915,0.28216967,0.16607124,0.123186424,0.1459901,0.2294954,0.009323163,0.09671185,0.3306169,0.4419899,0.27515805,0.32553208,0.5092068,0.19245674,0.82147866,0.82861364,0.858781,0.8219111,0.87696344,0.8548313,1.0,0.8334863,0.8326384,0.122802906,0.1946765,0.08411254,0.18115193,0.20812473,0.26191825,0.12493506,0.12207258,0.13062215,0.17549159,0.21815018,0.2663234,0.241415
Digital Arts & Culture,0.35568416,0.255822,0.14949831,0.34167808,0.31199104,0.21848688,0.26024738,0.22200243,0.2042902,0.22423223,0.39446342,0.464773,0.32072964,0.3949193,0.5339747,0.3525799,0.8276233,0.8301744,0.849703,0.8362783,0.8199992,0.8496046,0.8334863,1.0,0.8293362,0.13255103,0.43399188,0.06387886,0.18227394,0.24080618,0.26336107,0.34492603,0.25490806,0.16457503,0.16486178,0.3087083,0.2748605,0.28192794
Media Studies,0.13225059,0.049309447,0.033453394,0.20280126,0.21103176,-0.02147497,0.17148943,0.22091517,0.11071855,0.18368328,0.2714564,0.34719527,0.23150194,0.3014789,0.35652068,0.18091676,0.79569113,0.7958727,0.80256784,0.78751624,0.7995292,0.83212733,0.8326384,0.8293362,1.0,0.2510346,0.26112887,0.11634915,0.19437107,0.17984271,0.22389102,0.065084055,0.046223193,0.12623261,0.1354253,0.30780667,0.23341005,0.10872068
Health,0.079052866,0.05365644,-0.05120187,0.07538368,0.19175434,0.01650326,0.023368502,0.024418112,0.073307216,-0.056851435,0.24665603,0.2017087,0.19228192,0.36121762,0.10753181,0.13091971,0.17195553,0.1989801,0.08036638,0.041176584,0.14691302,0.16415182,0.122802906,0.13255103,0.2510346,1.0,0.79657733,0.82267195,0.78736055,0.7908481,0.79464614,0.015986739,0.04618022,0.09685254,0.09804064,0.08296257,0.15737297,0.058874615
Digital Healthcare,0.29638118,0.2673551,0.11070138,0.2992242,0.30286545,0.14684582,0.33000046,0.36514145,0.17821231,0.22852038,0.36573243,0.3536517,0.31831187,0.3149614,0.38329372,0.2921211,0.22910428,0.24333203,0.29409826,0.28981975,0.19980709,0.3010355,0.1946765,0.43399188,0.26112887,0.79657733,1.0,0.7943031,0.7803589,0.78445727,0.78937757,0.30903208,0.29145,0.102486484,0.12548363,0.33531117,0.28678453,0.2904703
Nutritional Science,0.0960575,0.11347996,-0.033503648,0.11335565,0.24553105,-0.009620413,0.04071624,0.08223532,0.050486628,0.01751147,0.1672111,0.13717745,0.18153799,0.22087184,0.05482372,0.16256645,0.097824454,0.14122322,0.075719975,0.11370868,0.09807879,0.12648878,0.08411254,0.06387886,0.11634915,0.82267195,0.7943031,1.0,0.78619987,0.79572254,0.7935024,0.0015346073,0.07449457,0.16001642,0.098003596,0.06892689,0.07222482,0.077544734
Neuroscience,0.37186962,0.28404272,0.21316536,0.32930493,0.27470922,0.25643134,0.07188415,0.109537154,0.13347127,0.0637251,0.235432,0.2939968,0.17853446,0.14877786,0.18559821,0.31154865,0.10486309,0.19985129,0.21072856,0.26237273,0.23575859,0.2360116,0.18115193,0.18227394,0.19437107,0.78736055,0.7803589,0.78619987,1.0,0.8724744,0.826205,0.2037443,0.16815451,0.22717565,0.15662724,0.15565863,0.096521296,0.15757953
Cognitive Neuroscience,0.44603145,0.32978433,0.1569823,0.32665998,0.25661796,0.22583556,0.09598834,0.096143596,0.1437845,0.1236354,0.2766004,0.27781057,0.24013935,0.19260909,0.19159186,0.27609742,0.15182503,0.20446333,0.23672888,0.25267988,0.24515127,0.24972492,0.20812473,0.24080618,0.17984271,0.7908481,0.78445727,0.79572254,0.8724744,1.0,0.8646312,0.22242013,0.20890622,0.20320159,0.13797691,0.1406765,0.07895096,0.10254657
Cognitive Psychology,0.4466677,0.32712358,0.11764587,0.38480818,0.2594295,0.11579003,0.15581445,0.17747368,0.1686065,0.13748842,0.37879902,0.37157834,0.33882648,0.33196476,0.24858955,0.33990997,0.20383358,0.27676392,0.27757755,0.36278558,0.29366422,0.32753345,0.26191825,0.26336107,0.22389102,0.79464614,0.78937757,0.7935024,0.826205,0.8646312,1.0,0.12665786,0.1417568,0.17104441,0.09794232,0.20575805,0.15721096,0.19844647
Physical Computing,0.35519502,0.41447333,0.37812406,0.34335664,0.21974972,0.5657904,0.28727803,0.2660253,0.1731549,0.2998548,0.2576675,0.29225037,0.2616143,0.22550845,0.34731704,0.2295197,0.20623359,0.20865637,0.2730728,0.26480362,0.16901474,0.30379683,0.12493506,0.34492603,0.065084055,0.015986739,0.30903208,0.0015346073,0.2037443,0.22242013,0.12665786,1.0,0.8373477,0.22597411,0.25859547,0.23204592,0.31006134,0.24009044
Smart Engineering,0.43836343,0.45624718,0.11942789,0.32727313,0.37450212,0.5129927,0.26982227,0.24709554,0.12858865,0.20308216,0.20739268,0.27386647,0.2146982,0.3158294,0.26059216,0.2870092,0.20563716,0.1985594,0.194183,0.14380217,0.15353177,0.21432191,0.12207258,0.25490806,0.046223193,0.04618022,0.29145,0.07449457,0.16815451,0.20890622,0.1417568,0.8373477,1.0,0.2222406,0.2413426,0.24486741,0.19498605,0.35689571
Climate Science,0.20767447,0.17162748,0.062670626,0.1943058,0.31264403,0.21020624,0.17755793,0.16375592,0.11878362,0.11855761,0.16819642,0.18319571,0.13492422,0.12544742,0.18301338,0.23793963,0.23350093,0.116028324,0.1436373,0.17404568,0.13928862,0.174191,0.13062215,0.16457503,0.12623261,0.09685254,0.102486484,0.16001642,0.22717565,0.20320159,0.17104441,0.22597411,0.2222406,1.0,0.8165979,0.18318394,0.0498473,0.20808172
Renewable Energy,0.17720884,0.16164002,0.104454935,0.21601689,0.24093398,0.2006441,0.15372369,0.21203811,0.1380951,0.16659752,0.17056164,0.20752898,0.17440544,0.24163938,0.23104091,0.18598886,0.18312344,0.20325688,0.23540577,0.14961088,0.15063034,0.21989118,0.17549159,0.16486178,0.1354253,0.09804064,0.12548363,0.098003596,0.15662724,0.13797691,0.09794232,0.25859547,0.2413426,0.8165979,1.0,0.23417357,0.2188028,0.21800122
Web Technologies,0.24240455,0.26101452,0.09711111,0.27983665,0.2906401,0.15564752,0.3426221,0.40769002,0.25630364,0.29735112,0.42468163,0.42009813,0.43333343,0.37393785,0.4576472,0.23362154,0.28761983,0.30309045,0.37330082,0.3125271,0.20409797,0.37191013,0.21815018,0.3087083,0.30780667,0.08296257,0.33531117,0.06892689,0.15565863,0.1406765,0.20575805,0.23204592,0.24486741,0.18318394,0.23417357,1.0,0.82060325,0.8115697
Mobile Development,0.16206959,0.21721706,0.0167374,0.16144137,0.15080309,0.14777029,0.14954607,0.19634241,0.18318598,0.14323686,0.4371643,0.5173167,0.43785617,0.45637205,0.35760212,0.17064482,0.42809752,0.34102592,0.23376007,0.21946819,0.27591187,0.43604782,0.2663234,0.2748605,0.23341005,0.15737297,0.28678453,0.07222482,0.096521296,0.07895096,0.15721096,0.31006134,0.19498605,0.0498473,0.2188028,0.82060325,1.0,0.82658184
Software Engineering,0.30383682,0.31238398,0.12529136,0.29562756,0.35590225,0.24981527,0.32174206,0.37632757,0.28373,0.25540745,0.31162924,0.3866409,0.40810785,0.3679447,0.23506539,0.25539792,0.4502992,0.34912995,0.2706895,0.22645319,0.2547806,0.27913338,0.241415,0.28192794,0.10872068,0.058874615,0.2904703,0.077544734,0.15757953,0.10254657,0.19844647,0.24009044,0.35689571,0.20808172,0.21800122,0.8115697,0.82658184,1.0
